Class,Single_F1,TwoStage_F1,Improvement
Analysis,0.0,0.0009995002498750624,0.0009995002498750624
Backdoor,0.043673012318029114,0.04257703081232493,-0.0010959815057041827
DoS,0.026321561745996928,0.021351313386711618,-0.00497024835928531
Exploits,0.23731011485735456,0.1792036233251557,-0.05810649153219888
Fuzzers,0.31397521976881015,0.3056142114965644,-0.008361008272245729
Generic,0.5682805381926052,0.0,-0.5682805381926052
Normal,0.5134502555705994,0.3718572733701178,-0.1415929822004816
Reconnaissance,0.26779935275080907,0.2678081085446616,8.755793852510685e-06
Shellcode,0.19651567944250872,0.20704845814977973,0.010532778707271012
Worms,0.22929936305732485,0.18421052631578946,-0.04508883674153538
